City_ID,City,Country,Max Temp,weather description,Lat,Lng,Hotel Name
102,Nemuro,JP,58.05,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
103,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
104,Havre-Saint-Pierre,CA,64.76,few clouds,50.2334,-63.5986,Auberge Niapiskau
105,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
107,Oyama,JP,84.58,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
110,Constitucion,CL,53.67,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
111,Manoel Urbano,BR,81.07,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
112,Severo-Kurilsk,RU,55.47,broken clouds,50.6789,156.125,Kak Doma
113,Yorkton,CA,71.44,broken clouds,51.2167,-102.4677,Redwood Motel
114,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
117,Moree,AU,59.18,clear sky,-29.4667,149.85,Molika Springs Motel
120,Bojnurd,IR,70.65,few clouds,37.4747,57.329,Hotel negin bojnourd
121,Cap-Haitien,HT,82.2,broken clouds,19.7578,-72.2042,Habitation Jouissant
125,Hasaki,JP,84.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
126,Gotsu,JP,74.21,broken clouds,35.0,132.2167,Yurusato
127,Bolkhov,RU,57.34,few clouds,53.4433,36.0044,Bolkhovskaya Starina
128,Champerico,GT,83.91,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
129,Grindavik,IS,50.47,fog,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
130,Touros,BR,75.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
131,New Norfolk,AU,51.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
133,Rosarito,MX,82.63,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
134,Kahului,US,85.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
135,Hofn,IS,51.94,broken clouds,64.2539,-15.2082,Hótel Höfn
136,Ponta Do Sol,PT,71.71,few clouds,32.6667,-17.1,Hotel do Campo
138,Jinxiang,CN,82.62,clear sky,27.4327,120.6062,Wolong Village
139,Sabang,ID,81.3,light rain,5.8933,95.3214,Hotel Citra
140,Mporokoso,ZM,62.87,overcast clouds,-9.3727,30.125,Kutemwa lodge
142,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
144,Lebu,CL,53.28,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
145,Eureka,US,80.67,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
146,Ulladulla,AU,55.04,broken clouds,-35.35,150.4667,Sandpiper Motel
147,Raudeberg,NO,57.87,overcast clouds,61.9875,5.1352,Nordre Silda.
148,Awjilah,LY,77.63,clear sky,29.1081,21.2869,المنزل
150,Ranong,TH,77.34,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
151,Lagoa,PT,72.16,overcast clouds,39.05,-27.9833,Casa Das Faias
152,Tevaitoa,PF,77.99,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
153,Chuy,UY,54.43,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
154,Gizo,SB,83.35,light rain,-8.103,156.8419,Imagination Island
155,Utiel,ES,74.16,broken clouds,39.5667,-1.2,Hotel Restaurante El Tollo
158,Mehamn,NO,53.51,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
159,Sitka,US,55.09,overcast clouds,57.0531,-135.33,Westmark Sitka
161,Cockburn Town,TC,82.04,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
163,Qatana,SY,68.43,clear sky,33.4354,36.0815,مدرسة فايز الناصر
167,Komaki,JP,82.04,few clouds,35.2833,136.9167,Route-Inn Grantia Komaki
168,Collie,AU,53.33,light rain,-33.3667,116.15,Collie Ridge
169,Taksimo,RU,70.66,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
170,Makakilo City,US,82.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
171,Chulym,RU,51.58,scattered clouds,55.0997,80.9572,"""U Tat'yany"""
172,Graaff-Reinet,ZA,62.92,overcast clouds,-32.2522,24.5308,Rietjiesbos Self Catering
174,Karlskoga,SE,54.72,overcast clouds,59.3267,14.5239,Hotel Alfred Nobel
176,Zhigansk,RU,54.54,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
177,Strzelce Krajenskie,PL,64.92,overcast clouds,52.8773,15.5298,Hotel Staropolski
178,Iwaki,JP,78.76,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
180,Beyneu,KZ,77.07,light rain,45.3167,55.2,NUR
181,Victoria,HK,88.32,scattered clouds,22.2855,114.1577,Mini Central
182,Piskivka,UA,59.81,clear sky,50.6938,29.6193,"Отель ""Странноприимная"""
183,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Igbon,PH,81.1,broken clouds,11.2142,123.1655,Pamores Shanty Beach Resort
185,Narasannapeta,IN,80.37,overcast clouds,18.4167,84.05,AVK events and catering
187,Mount Gambier,AU,51.31,overcast clouds,-37.8333,140.7667,The Commodore
189,Tecoanapa,MX,85.08,overcast clouds,16.5167,-98.75,Hotel Manglares
190,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Green leaf
192,Sisophon,KH,75.33,overcast clouds,13.5859,102.9737,Pyramid Hotel
194,Roebourne,AU,67.77,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
195,Lensk,RU,65.88,overcast clouds,60.7253,114.9278,ТинОрС
196,Katsuura,JP,80.02,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
197,Jumla,NP,62.82,light rain,29.2747,82.1838,Royal Garden Hotel
198,Najran,SA,83.95,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
200,Hambantota,LK,78.91,overcast clouds,6.1241,81.1185,Bungalow 63
201,Vanderhoof,CA,77.56,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
202,Jacareacanga,BR,82.89,broken clouds,-6.2222,-57.7528,Casa do Ian😎
205,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
206,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
208,Acapulco,MX,84.13,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
210,Lisakovsk,KZ,62.46,broken clouds,52.5369,62.4936,Gostinitsa Lisakovsk
211,Maragogi,BR,74.39,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
212,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
213,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
214,Kavieng,PG,82.6,light rain,-2.5744,150.7967,Nusa Island Retreat
216,Faanui,PF,78.19,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Axim,GH,75.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
218,Petropavlovsk-Kamchatskiy,RU,59.59,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
220,Duldurga,RU,63.72,overcast clouds,50.6761,113.5931,Golden Dragon
221,Dwarka,IN,81.77,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
222,Irbeyskoye,RU,57.11,clear sky,55.6428,95.4522,"Gostinitsa ""Agul"""
223,Tarnos,FR,70.11,overcast clouds,43.5417,-1.4628,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
225,Lakatoro,VU,80.89,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
226,Seoul,KR,76.39,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
228,Petatlan,MX,87.6,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
229,Oktyabrskoye,RU,62.74,light intensity drizzle,43.0645,44.7417,Prolesok Mini-hotel
230,Ust-Uda,RU,58.93,overcast clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
231,Pangnirtung,CA,54.72,clear sky,66.1451,-65.7125,Kilabuk Lodge
232,Lanivtsi,UA,64.63,broken clouds,49.8633,26.0908,Мотель Млин
233,Mirnyy,RU,64.72,overcast clouds,62.5353,113.9611,квартира
234,Nyurba,RU,66.4,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
235,Namatanai,PG,83.17,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
236,Port Elizabeth,ZA,58.32,overcast clouds,-33.918,25.5701,39 On Nile Guest House
237,Marfino,RU,64.54,clear sky,55.7028,37.3822,Nemchinovka-Park
240,Mount Hagen,PG,65.61,few clouds,-5.8581,144.2274,Highlander Hotel & Apartments
241,Quatre Cocos,MU,68.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
244,Sao Filipe,CV,75.18,broken clouds,14.8961,-24.4956,Hotel Xaguate
245,Lorengau,PG,82.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
247,Broken Hill,AU,56.14,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
248,Vao,NC,74.55,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
249,Semarang,ID,76.93,overcast clouds,-6.9932,110.4203,Quest Hotel Simpang Lima Semarang
250,Vostochnyy,RU,64.58,clear sky,55.8167,37.8667,MarianHall
251,Cap Malheureux,MU,66.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
253,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
254,Mangrol,IN,80.71,light rain,21.1167,70.1167,Hotel The Royal Honours
256,Omboue,GA,70.48,broken clouds,-1.5746,9.2618,Hotel Olako
258,Fairbanks,US,62.1,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
260,Lugo,ES,58.48,clear sky,43.0,-7.5,Hotel Torre de Núñez
261,Jieshi,CN,84.27,clear sky,22.8134,115.8257,Yuehai Hotel
262,Vrbno Pod Pradedem,CZ,65.77,clear sky,50.1209,17.3832,Hotel Singer
263,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
264,Kedrovka,RU,58.08,overcast clouds,55.5333,86.05,Гостиница «Олимпия»
265,Jalu,LY,77.68,clear sky,29.0331,21.5482,صاحبة الفخامة
267,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
268,Wipperfurth,DE,62.58,broken clouds,51.1167,7.4,Das Landgut Stüttem
269,Vanimo,PG,81.05,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
270,Atar,MR,87.03,moderate rain,20.5169,-13.0499,Oumou Elghoura
271,Baker City,US,85.59,clear sky,44.7749,-117.8344,Bridge Street Inn
272,Lompoc,US,75.85,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
273,Kristiinankaupunki,FI,57.83,overcast clouds,62.2743,21.376,Hotel Alma
274,Houma,US,89.02,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
275,Manjacaze,MZ,60.13,clear sky,-24.7117,33.8828,Hotel Gani
276,Talnakh,RU,65.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
277,Wenling,CN,82.02,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
278,Ketchikan,US,66.67,broken clouds,55.3422,-131.6461,Snow's Cove Lodge
279,Geraldton,AU,54.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
280,Alyangula,AU,69.1,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
281,Thoen,TH,73.38,overcast clouds,17.6129,99.2161,บ้านห้องนอน
282,Smithers,CA,77.18,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
284,La Libertad,EC,67.66,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
286,Taltal,CL,57.09,overcast clouds,-25.4,-70.4833,Residencial Karime
289,Port Hardy,CA,60.78,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
290,Walcz,PL,62.69,broken clouds,53.2779,16.4712,Businesshotels.pl
291,Coquimbo,CL,56.28,few clouds,-29.9533,-71.3436,Hotel San Juan
294,Dingle,PH,79.32,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
295,Sur,OM,86.16,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
296,Lixourion,GR,77.67,clear sky,38.2019,20.4314,Hotel Summery
298,Oeiras,BR,83.16,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
299,Roma,US,84.34,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
300,El Tigre,VE,81.77,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
301,Northam,GB,60.39,broken clouds,51.0333,-4.2167,Durrant House Hotel
302,Lodwar,KE,80.76,few clouds,3.1191,35.5973,Solmar Gracious Hotel
303,Novovorontsovka,UA,62.96,clear sky,47.5004,33.9175,"Гостиница ""Боцман"""
304,Uvinza,TZ,67.03,clear sky,-5.1036,30.3911,Crown Lodge and lounge
305,Quarai,BR,63.07,moderate rain,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
307,Tura,IN,74.84,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
308,Yelizovo,RU,60.94,broken clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
309,Torrijos,ES,81.52,overcast clouds,39.9819,-4.2835,Hotel La Salve
310,Roald,NO,57.33,broken clouds,62.5833,6.1333,Flem Cabins
311,Okha,RU,59.83,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
312,Tamandare,BR,74.62,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
313,Luanda,AO,68.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
314,Ondjiva,AO,58.91,clear sky,-17.0667,15.7333,COMBUESA
315,Ayan,RU,61.12,scattered clouds,56.45,138.1667,Gostinitsa
316,Ca Mau,VN,75.58,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
319,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
320,Udachnyy,RU,58.82,clear sky,66.4167,112.4,Severnoye Siyaniye
321,Namtsy,RU,69.19,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
323,Bodrum,TR,80.08,clear sky,37.0383,27.4292,The Marmara Bodrum
324,Gwadar,PK,82.35,overcast clouds,25.1216,62.3254,Sadaf Resort
325,Tiangua,BR,74.3,overcast clouds,-3.7322,-40.9917,HOTEL SÃO FRANCISCO - TIANGUÁ/CE
326,Oleksandrivka,UA,59.76,clear sky,48.9634,32.2349,Смт олександрівка
327,Long Xuyen,VN,76.95,overcast clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
328,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
330,Norman Wells,CA,79.61,overcast clouds,65.282,-126.8329,Heritage Hotel
331,Hovd,MN,60.96,scattered clouds,48.0056,91.6419,Hotel Khovd
333,Alofi,NU,76.33,broken clouds,-19.0595,-169.9187,Taloa Heights
335,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
336,Talcahuano,CL,51.48,light rain,-36.7167,-73.1167,departamento comodo
337,Kudahuvadhoo,MV,82.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
338,Kachiry,KZ,55.87,few clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
339,Klyuchi,RU,61.86,few clouds,52.2667,79.1667,Vesolaya Mayovka
340,Vestmannaeyjar,IS,51.31,overcast clouds,63.4427,-20.2734,Glamping & Camping
341,Bonga,ET,60.93,overcast clouds,7.2833,36.2333,Abelena bare and restorant
342,Flin Flon,CA,58.84,smoke,54.7682,-101.865,Victoria Inn Flin Flon
343,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Khor,RU,62.73,overcast clouds,47.8861,134.9464,Gostinitsa Deksi
345,Gushikawa,JP,85.62,overcast clouds,26.3544,127.8686,Kirari Guest House
348,Birnin Kebbi,NG,81.68,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
351,Altay,CN,59.29,broken clouds,47.8667,88.1167,Jinqiao Hotel
352,Santa Catalina,PH,80.83,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
353,Hinton,CA,69.39,overcast clouds,53.4001,-117.5857,Econo Lodge & Suites
354,Frontino,CO,65.88,overcast clouds,6.7801,-76.1288,Hotel La Casona
355,Lima,PE,62.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
356,Port Hedland,AU,66.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
357,Heinola,FI,64.99,few clouds,61.2056,26.0381,Hotelli Valo
359,Bonavista,CA,64.51,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
360,Lethem,GY,76.35,overcast clouds,3.3803,-59.7968,Savannah Inn
361,Springbok,ZA,50.18,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
362,Scarborough,GB,56.77,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
363,Villazon,BO,50.41,scattered clouds,-22.0866,-65.5942,La Candelaria
364,Cidreira,BR,62.94,light rain,-30.1811,-50.2056,Hotel Castelo
366,North Myrtle Beach,US,80.06,thunderstorm,33.816,-78.68,Avista Resort
367,Quilmana,PE,62.08,scattered clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
368,Isangel,VU,78.31,light rain,-19.55,169.2667,Tanna Lodge
369,Honiara,SB,85.6,clear sky,-9.4333,159.95,Heritage Park Hotel
370,Ahipara,NZ,57.09,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
371,Sao Joao Da Barra,BR,71.87,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
372,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
373,Xuddur,SO,69.64,scattered clouds,4.1213,43.8894,Banjanay Hotel
377,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
378,Great Yarmouth,GB,61.02,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
379,Krasnoselkup,RU,52.2,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
380,Zhezkazgan,KZ,70.88,scattered clouds,47.8043,67.7144,Hotel Zumrat
381,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
382,San Quintin,MX,73.31,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
383,Alto Araguaia,BR,71.74,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
384,Zlitan,LY,77.79,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
385,Baglan,AF,87.17,clear sky,36.1307,68.7083,Habibullah MOsazai
387,The Valley,AI,82.81,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
389,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
390,Kaeo,NZ,56.14,overcast clouds,-35.1,173.7833,Bushido Lodge
391,Yamada,JP,75.76,broken clouds,39.4667,141.95,Iroha-ya Inn
393,Singaparna,ID,69.58,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
394,Clyde River,CA,54.09,overcast clouds,70.4692,-68.5914,Qamaq Hotel
395,Puerto Santander,CO,85.41,broken clouds,8.3636,-72.4063,Hotel Toronto
396,Kapit,MY,72.93,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
397,Basco,PH,85.12,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
398,Emborion,GR,71.29,clear sky,40.4833,21.55,Villa Kastanodasos
400,Vallendar,DE,70.2,overcast clouds,50.4,7.6167,Hotel Restaurant Adria-Stuben
401,Moron,AR,58.01,clear sky,-34.6534,-58.6198,Hotel Morón
402,Deputatskiy,RU,53.78,overcast clouds,69.3,139.9,Baza Otdykha
404,Pimentel,PE,64.69,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
405,Dunmore,US,84.07,clear sky,41.4198,-75.6324,Radisson Lackawanna Station Hotel Scranton
406,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
407,Goderich,CA,81.91,clear sky,43.7501,-81.7165,Harmony Inn
408,Tolaga Bay,NZ,52.39,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
410,Ocos,GT,87.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
412,Dawei,MM,75.4,overcast clouds,14.0833,98.2,Hotel Dawei
413,Bridlington,GB,60.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
414,Valparaiso,CL,53.24,broken clouds,-33.0393,-71.6273,Hotel Ultramar
415,Shakawe,BW,56.88,few clouds,-18.3667,21.85,Ditlhapi Guest House
416,Awbari,LY,80.62,clear sky,26.5921,12.7805,فندق أوباري
