City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
60,Huilong,CN,2022-07-22 22:59:53,31.8111,121.655,83.93,90,96,8.88,overcast clouds
61,Hermanus,ZA,2022-07-22 22:59:53,-34.4187,19.2345,53.8,83,100,12.97,light rain
62,Simdega,IN,2022-07-22 22:59:54,22.6167,84.5167,75.06,94,100,2.84,overcast clouds
63,Hare Bay,CA,2022-07-22 22:59:54,48.8499,-54.0148,79.95,73,34,9.33,scattered clouds
64,Cascais,PT,2022-07-22 22:55:27,38.6979,-9.4215,69.66,75,20,24.0,few clouds
65,Khatanga,RU,2022-07-22 22:59:55,71.9667,102.5,41.81,89,100,15.19,light rain
66,Pevek,RU,2022-07-22 22:59:55,69.7008,170.3133,32.92,89,98,5.7,overcast clouds
67,Hithadhoo,MV,2022-07-22 22:59:55,-0.6,73.0833,81.84,72,100,7.85,overcast clouds
68,Necochea,AR,2022-07-22 22:59:56,-38.5473,-58.7368,44.04,89,85,6.55,overcast clouds
69,Klaksvik,FO,2022-07-22 22:59:56,62.2266,-6.589,50.92,84,100,7.49,overcast clouds
70,Linping,CN,2022-07-22 22:59:57,30.4225,120.2972,87.94,79,69,6.06,broken clouds
71,Khasan,RU,2022-07-22 22:59:57,42.4308,130.6434,65.44,96,100,5.55,overcast clouds
72,Birao,CF,2022-07-22 22:59:57,10.2849,22.7882,71.73,94,18,6.67,few clouds
73,Skjervoy,NO,2022-07-22 22:59:58,70.0311,20.9714,51.8,81,100,15.73,light rain
74,Provideniya,RU,2022-07-22 22:59:58,64.3833,-173.3,46.24,79,76,6.85,broken clouds
75,Shaikhpura,IN,2022-07-22 22:59:59,25.15,85.85,83.66,77,95,8.21,overcast clouds
76,Vaini,TO,2022-07-22 22:59:59,-21.2,-175.2,75.36,94,40,9.22,scattered clouds
77,Zhenjiang,CN,2022-07-22 22:59:59,32.2092,119.4342,83.14,87,97,7.2,overcast clouds
78,Manzanillo,CU,2022-07-22 22:57:03,20.3433,-77.1167,76.87,90,79,7.9,broken clouds
79,Faya,SA,2022-07-22 23:00:01,18.3851,42.4509,70.18,46,93,4.16,overcast clouds
80,Cabo San Lucas,MX,2022-07-22 23:00:01,22.8909,-109.9124,99.61,61,66,11.59,broken clouds
81,Berlevag,NO,2022-07-22 23:00:02,70.8578,29.0864,53.55,82,100,18.41,overcast clouds
82,Namibe,AO,2022-07-22 23:00:03,-15.1961,12.1522,62.65,82,4,3.96,clear sky
83,Mar Del Plata,AR,2022-07-22 22:56:06,-38.0023,-57.5575,48.87,89,68,4.61,mist
84,Tombouctou,ML,2022-07-22 23:00:04,20.0,-3.0,98.98,20,22,4.56,few clouds
85,Kenora,CA,2022-07-22 22:59:47,49.8167,-94.4337,77.97,47,75,11.5,broken clouds
86,Tocopilla,CL,2022-07-22 23:00:06,-22.092,-70.1979,62.17,76,99,9.82,overcast clouds
87,Airai,TL,2022-07-22 23:00:07,-8.9266,125.4092,55.15,73,92,3.02,overcast clouds
88,Van,TR,2022-07-22 23:00:08,38.4924,43.3831,65.89,41,0,2.95,clear sky
89,Qaanaaq,GL,2022-07-22 23:00:08,77.484,-69.3632,37.9,94,100,7.99,light rain
90,Cape Town,ZA,2022-07-22 22:57:03,-33.9258,18.4232,55.89,91,75,6.91,light rain
91,Russell,US,2022-07-22 23:01:10,32.3502,-85.1999,76.37,94,75,6.91,thunderstorm with light rain
92,Bredasdorp,ZA,2022-07-22 23:01:10,-34.5322,20.0403,55.13,91,100,9.31,light rain
93,Arraial Do Cabo,BR,2022-07-22 23:01:11,-22.9661,-42.0278,71.62,87,2,17.74,clear sky
94,Tasiilaq,GL,2022-07-22 23:01:12,65.6145,-37.6368,37.56,73,34,7.94,scattered clouds
95,Beringovskiy,RU,2022-07-22 23:01:12,63.05,179.3167,46.89,87,100,9.57,light rain
96,Kolpashevo,RU,2022-07-22 23:01:12,58.3131,82.9089,49.44,93,78,12.08,broken clouds
97,Narsaq,GL,2022-07-22 23:01:13,60.9167,-46.05,50.34,74,42,4.56,scattered clouds
98,Leningradskiy,RU,2022-07-22 23:01:14,69.3833,178.4167,37.99,83,89,9.06,overcast clouds
99,Avarua,CK,2022-07-22 23:01:14,-21.2078,-159.775,78.85,78,80,5.75,broken clouds
100,Porto Santo,PT,2022-07-22 22:57:28,33.072,-16.3415,70.18,73,75,11.5,broken clouds
101,Bethel,US,2022-07-22 23:01:15,41.3712,-73.414,87.55,67,75,8.05,broken clouds
102,Nemuro,JP,2022-07-22 23:01:15,43.3236,145.575,58.05,98,100,15.17,overcast clouds
103,Georgetown,MY,2022-07-22 22:57:10,5.4112,100.3354,78.89,97,20,0.0,few clouds
104,Havre-Saint-Pierre,CA,2022-07-22 23:01:17,50.2334,-63.5986,64.76,88,20,5.75,few clouds
105,Puri,IN,2022-07-22 23:01:17,19.8,85.85,79.32,82,100,5.61,overcast clouds
